vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
Skippy,Clothing,Owned stock,TOO SMALL TO RANK,19,18,1,5.3,0.0,4266,1423,33.4,11.9,4903,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
CleanZo,Baby Essentials,Owned stock,TOO SMALL TO RANK,4,1,0,0.0,0.0,3447,745,21.6,0.0,0,3182,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Junior Tex,Clothing,Owned stock,TOO SMALL TO RANK,10,10,0,0.0,,3204,1068,33.3,49.0,1299,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
"""Mohamed Fouda",Clothing,Owned stock,TOO SMALL TO RANK,3,3,0,0.0,,3025,536,17.7,0.0,0,578,,,,2025-09-29,329,L365,0,0,0,0,0.0,0.0,,0,0
Quokka-Consign,Clothing,Consignment,RENEGOTIATE MARGIN,7,7,0,0.0,,2959,365,12.3,41.3,0,2031,,,,2026-01-18,218,L365,0,0,0,0,0.0,0.0,,0,0
4M for Trade and Distribution (Flowers),Baby Essentials,Owned stock,TOO SMALL TO RANK,11,0,0,0.0,,2560,5,0.2,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Hun-The Party Animals,Various,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,2321,459,19.8,14.9,540,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Moatouq,Toys,Owned stock,TOO SMALL TO RANK,16,0,0,0.0,,2195,740,33.7,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Middle East Tags,Toys,Owned stock,TOO SMALL TO RANK,5,1,1,20.0,,2174,0,0.0,0.0,1227,0,,,,2026-02-18,187,L365,0,0,0,1227,0.0,0.0,,0,0
Papillion-Consignment,Clothing,Consignment,RENEGOTIATE MARGIN,10,9,0,0.0,,1952,324,16.6,41.6,0,575,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Vanilla,Toys,Owned stock,TOO SMALL TO RANK,4,2,0,0.0,0.0,1362,60,4.4,0.0,709,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Nahdet Miser-Cash,School,Owned stock,TOO SMALL TO RANK,33,0,0,0.0,,1330,408,30.7,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Hobby-Consignment,Clothing,Consignment,WIDEN — no capital at risk,30,25,17,56.7,37.8,1270,327,25.7,0.0,0,226306,,,,2026-08-10,14,L30,0,0,0,0,0.0,0.0,,0,0
New Activ For Trading & supplies,School,Owned stock,TOO SMALL TO RANK,8,0,0,0.0,,1237,247,20.0,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Emotions Party Accessories 633,Party,Owned stock,TOO SMALL TO RANK,47,17,0,0.0,0.0,1056,297,28.1,0.0,1129,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Lumex,Clothing,Owned stock,TOO SMALL TO RANK,2,2,0,0.0,,964,239,24.7,63.7,0,413,,,,2025-08-27,362,L365,0,0,0,0,0.0,0.0,,0,0
Al Saeed-Cash,Toys,Owned stock,TOO SMALL TO RANK,20,1,1,5.0,,931,40,4.3,49.2,450,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Zoya,School,Owned stock,TOO SMALL TO RANK,8,1,0,0.0,,920,117,12.7,0.0,0,592,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
3mas factory,Baby Essentials,Owned stock,TOO SMALL TO RANK,158,11,0,0.0,0.0,871,240,27.5,0.0,505,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Sphinx Publishing Co,Various,Owned stock,TOO SMALL TO RANK,32,5,3,9.4,,781,132,16.9,0.0,343,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Puzzle -coolgear,Various,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,778,205,26.3,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Milano-Consign,Baby Essentials,Consignment,WIDEN — no capital at risk,9,4,1,11.1,,700,194,27.7,0.0,0,3425,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
